  TT  PID   AT IO_D   WT   RT  TRT
4912 1900 4752    0   91   91  160 
4925 1929 4827    0    0    0   98 
4928 1926 4822    0   15   15  106 
4937 1964 4928    0    0    0    9 
4938  638 1587    2 3333   13 3351 
4942  650 1617    0 3297  297 3325 
4955  671 1669    1 3267   67 3286 
4956 1937 4847    0   65   65  109 
4959  261  682    0 4209   75 4277 
4960  957 2359    0 2581  300 2601 
4980 1958 4909    0    0    0   71 
4994 1954 4893    0    0    0  101 
5000 1972 4946    0   13   13   54 
5016 1994 4992    0    0    0   24 
5036 1971 4946    0   80   80   90 
5045 1990 4982    0   16   16   63 
5051 1995 4995    0    5    5   56 
5054 1974 4946    0   90   90  108 
5066 1979 4958    0   13   13  108 
5068  309  806    8 4215    8 4262 
5069 2001 5007    0    2    2   62 
5072  344  895    9 4149  108 4177 
5114 2010 5035    0   19   19   79 
5116  777 1931    1 3179   18 3185 
5121  423 1104    2 3955    3 4017 
5123 2004 5017    0    7    7  106 
5139 2014 5042    0   24   24   97 
5145 2011 5038    0   13   13  107 
5146  137  335   30 4716  113 4811 
5149  576 1438   22 3700  146 3711 
5173 2027 5068    0    3    3  105 
5178 2053 5132    0    5    5   46 
5180 2043 5105    0   69   69   75 
5184 2032 5078    0   71   71  106 
5195 1775 4418    0  772  385  777 
5199 2018 5055    0   66   66  144 
5200 2041 5097    0    9    9  103 
5209  342  890   12 4289   27 4319 
5223  131  318    3 4828   71 4905 
5231 2059 5147    0    0    0   84 
5232 2035 5081    0  103  103  151 
5235  824 2044    8 3151    1 3191 
5239 2075 5168    0    5    5   71 
5239  717 1787    5 3389    9 3452 
5240 2079 5179    0    0    0   61 
5250 2086 5202    0    0    0   48 
5254 2067 5153    0    3    3  101 
5264 2107 5251    0    0    0   13 
5264 2062 5147    0   62   62  117 
5279 2108 5254    0   10   10   25 
5282 2071 5161    0   53   53  121 
5285 2094 5222    0   12   12   63 
5289  868 2148    1 3045    4 3141 
5293 2113 5270    0   16   16   23 
5311 2117 5280    0    3    3   31 
5314 2123 5294    0    1    1   20 
5314  135  329    4 4928   64 4985 
5329 2137 5316    0    0    0   13 
5334  898 2216    4 3040   22 3118 
5343 2125 5296    0   18   18   47 
5348 2101 5240    0   20   20  108 
5357 2136 5311    0   16   16   46 
5361 2152 5351    0    0    0   10 
5367 2148 5339    0   23   23   28 
5373 2139 5323    0    1    1   50 
5397 2165 5388    0    0    0    9 
5410 2119 5283    0   51   51  127 
5428 2162 5379    0    9    9   49 
5435 2131 5300    0   70   70  135 
5441  736 1840    6 3556    0 3601 
5445 1482 3689    0 1744  358 1756 
5446  735 1836    1 3544   13 3610 
5453 2185 5434    0   11   11   19 
5457  722 1796    0 3631  224 3661 
5467 2156 5363    0    7    7  104 
5468 2168 5393    0    8    8   75 
5468  913 2254   25 3146   66 3214 
5478  904 2228    4 3175   81 3250 
5501  301  783    2 4685   11 4718 
5507 2209 5489    0    6    6   18 
5516 2190 5447    0   37   37   69 
5523  554 1391   25 4110    0 4132 
5526 2189 5445    0   23   23   81 
5535  778 1931    3 3568  240 3604 
5538 2201 5473    0    3    3   65 
5557  933 2311    7 3172   38 3246 
5560 2178 5421    0   53   53  139 
5571 2229 5523    0    8    8   48 
5580 2211 5491    0   27   27   89 
5593 2179 5426    0  109  109  167 
5605 2232 5534    0    0    0   71 
5614 2215 5499    0   17   17  115 
5618 1758 4383    0 1227  417 1235 
5626 2183 5432    0  134  134  194 
5627 2235 5541    0    3    3   86 
5629 2260 5609    0    0    0   20 
5630  546 1374    5 4229   26 4256 
